,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
258,eom,euclidean,25,13,45,0.1,euclidean,39.0
130,eom,euclidean,25,20,25,0.1,cosine,39.0
146,eom,euclidean,25,9,45,0.1,cosine,39.0
78,eom,euclidean,20,23,45,0.15,euclidean,39.0
573,eom,euclidean,20,5,40,0.05,euclidean,39.0
148,eom,euclidean,25,9,45,0.1,cosine,39.0
564,eom,euclidean,20,5,40,0.1,euclidean,39.0
85,eom,euclidean,25,9,45,0.1,euclidean,39.0
86,eom,euclidean,25,9,45,0.1,cosine,39.0
159,eom,euclidean,20,9,25,0.1,cosine,39.0
149,eom,euclidean,25,9,45,0.1,cosine,39.0
126,eom,euclidean,25,7,45,0.1,cosine,39.0
88,eom,euclidean,25,9,45,0.1,cosine,39.0
144,eom,euclidean,25,9,45,0.15,cosine,39.0
151,eom,euclidean,25,9,45,0.1,cosine,39.0
92,eom,euclidean,25,9,45,0.1,cosine,39.0
113,eom,euclidean,25,23,40,0.1,cosine,39.0
100,eom,euclidean,25,9,45,0.1,cosine,39.0
101,eom,euclidean,25,9,45,0.1,cosine,39.0
557,eom,euclidean,20,5,40,0.1,euclidean,39.0
103,eom,euclidean,25,17,45,0.1,cosine,39.0
156,eom,euclidean,25,3,45,0.1,cosine,39.0
77,eom,euclidean,15,13,40,0.1,euclidean,39.0
107,eom,euclidean,25,9,45,0.1,cosine,39.0
559,eom,euclidean,20,5,40,0.1,euclidean,39.0
109,eom,euclidean,25,17,45,0.1,cosine,39.0
112,eom,euclidean,25,9,45,0.1,cosine,39.0
457,eom,euclidean,25,3,25,0.15,euclidean,70.0
315,eom,euclidean,25,20,45,0.15,euclidean,71.0
265,eom,euclidean,25,3,45,0.1,euclidean,76.0
34,leaf,euclidean,20,3,55,0.15,euclidean,78.0
364,eom,euclidean,25,5,20,0.15,cosine,81.0
123,eom,euclidean,25,3,45,0.1,cosine,81.0
291,eom,euclidean,25,5,45,0.15,cosine,82.0
12,eom,euclidean,25,13,55,0.15,cosine,83.0
